time,IR,correctedPPM,correctedRZero,ppm,resistance,rzero,humidity,temperature,neck_pos,base_pos,result,img_url
2023-12-30-17-25-29,0,193009.39,8.34,249535.23,4.8,7.6,60,31,-180,0,0,http://192.168.1.5:5555/image/2023_12_30_17_25_28.jpg
2023-12-30-17-25-41,0,179288.08,8.57,231795.42,4.93,7.77,60,31,-180,0,0,http://192.168.1.5:5555/image/2023_12_30_17_25_40.jpg
2023-12-30-17-25-43,0,179288.08,8.57,231795.42,4.93,7.77,60,31,-180,60,0,http://192.168.1.5:5555/image/2023_12_30_17_25_43.jpg
2023-12-30-17-25-44,0,179288.08,8.57,231795.42,4.93,7.77,60,31,-180,120,0,http://192.168.1.5:5555/image/2023_12_30_17_25_44.jpg
2023-12-30-17-25-45,0,179288.08,8.57,231795.42,4.93,7.77,60,31,-180,180,0,http://192.168.1.5:5555/image/2023_12_30_17_25_45.jpg
2023-12-30-17-26-44,0,181496.73,8.53,234651.02,4.91,7.77,60,31,-180,0,0,http://192.168.1.5:5555/image/2023_12_30_17_26_43.jpg
2023-12-30-17-26-45,0,181496.73,8.53,234651.02,4.91,7.77,60,31,-180,60,0,http://192.168.1.5:5555/image/2023_12_30_17_26_45.jpg
2023-12-30-17-26-46,0,181496.73,8.53,234651.02,4.91,7.77,60,31,-180,120,0,http://192.168.1.5:5555/image/2023_12_30_17_26_46.jpg
2023-12-30-17-32-14,0,183736.05,8.53,234651.02,4.91,7.77,60,31,-180,0,0,http://192.168.1.5:5555/image/2023_12_30_17_32_14.jpg
2023-12-30-17-32-19,0,168687.17,8.8,218089.88,5.02,7.98,60,31,-180,0,0,http://192.168.1.5:5555/image/2023_12_30_17_32_18.jpg
2023-12-30-17-32-20,0,168687.17,8.8,218089.88,5.02,7.98,60,31,-180,60,0,http://192.168.1.5:5555/image/2023_12_30_17_32_20.jpg
2023-12-31-00-06-14,0,31215.07,16.11,41380.27,9.19,14.55,66,30,-180,0,0,http://192.168.1.5:5555/image/2023_12_31_00_06_13.jpg
2023-12-31-00-06-21,,0,http://192.168.1.5:5555/image/2023_12_31_00_06_21.jpg
2023-12-31-00-07-18,1,29890.17,16.43,39623.91,9.34,14.78,66,30,0,0,0,http://192.168.1.5:5555/image/2023_12_31_00_07_18.jpg
2023-12-31-00-46-00,1,31184.82,16.11,41831.57,9.16,14.49,68,30,0,0,1,http://192.168.1.5:5555/image/2023_12_31_00_46_00.jpg
2023-12-31-00-46-02,1,31184.82,16.11,41831.57,9.16,14.49,68,30,0,60,1,http://192.168.1.5:5555/image/2023_12_31_00_46_01.jpg
2023-12-31-00-46-03,1,31184.82,16.11,41831.57,9.16,14.49,68,30,0,120,1,http://192.168.1.5:5555/image/2023_12_31_00_46_03.jpg
2023-12-31-00-46-04,1,31184.82,16.11,41831.57,9.16,14.49,68,30,0,180,1,http://192.168.1.5:5555/image/2023_12_31_00_46_04.jpg
2023-12-31-00-56-55,1,31524.99,16.05,42287.88,9.12,14.43,68,30,0,0,0,http://192.168.1.5:5555/image/2023_12_31_00_56_55.jpg
2023-12-31-00-56-57,1,31524.99,16.05,42287.88,9.12,14.43,68,30,0,60,0,http://192.168.1.5:5555/image/2023_12_31_00_56_57.jpg
2023-12-31-00-56-58,1,31524.99,16.05,42287.88,9.12,14.43,68,30,0,120,0,http://192.168.1.5:5555/image/2023_12_31_00_56_58.jpg
2023-12-31-00-58-32,1,29190.56,16.57,39623.91,9.38,14.84,70,30,0,0,0,http://192.168.1.5:5555/image/2023_12_31_00_58_31.jpg
2023-12-31-00-58-33,1,29190.56,16.57,39623.91,9.38,14.84,70,30,0,60,0,http://192.168.1.5:5555/image/2023_12_31_00_58_32.jpg
2023-12-31-01-00-16,,1,http://192.168.1.5:5555/image/2023_12_31_01_00_16.jpg
2023-12-31-02-09-32,1,21660.16,18.45,29577.53,10.42,16.42,71,30,0,0,1,http://192.168.1.5:5555/image/2023_12_31_02_09_32.jpg
2023-12-31-02-09-34,1,21660.16,18.45,29577.53,10.42,16.42,71,30,0,60,1,http://192.168.1.5:5555/image/2023_12_31_02_09_33.jpg
2023-12-31-02-29-27,0,16335.86,20.35,22307.05,11.49,18.18,71,30,90,180,1,http://192.168.1.5:5555/image/2023_12_31_02_29_22.jpg
2023-12-31-02-29-31,0,16335.86,20.35,22307.05,11.49,18.18,71,30,90,120,1,http://192.168.1.5:5555/image/2023_12_31_02_29_15.jpg
2023-12-31-02-48-45,0,15302.69,20.84,20896.23,11.77,18.62,71,30,0,0,1,http://192.168.1.5:5555/image/2023_12_31_02_48_45.jpg
2023-12-31-02-48-49,0,16159.07,20.43,22307.05,11.54,18.26,71,30,0,0,1,http://192.168.1.5:5555/image/2023_12_31_02_48_48.jpg
2023-12-31-02-49-02,0,18610.53,19.41,25413.17,10.96,17.35,71,30,0,0,1,http://192.168.1.5:5555/image/2023_12_31_02_49_01.jpg
2023-12-31-02-49-08,0,19018.72,19.26,25970.56,10.88,17.21,71,30,0,0,1,http://192.168.1.5:5555/image/2023_12_31_02_49_08.jpg
2023-12-31-02-49-12,0,19861.75,19.04,27121.74,10.75,17.01,71,30,0,0,1,http://192.168.1.5:5555/image/2023_12_31_02_49_11.jpg
2023-12-31-02-49-13,0,19861.75,19.04,27121.74,10.75,17.01,71,30,0,60,1,http://192.168.1.5:5555/image/2023_12_31_02_49_13.jpg
2023-12-31-02-49-14,0,19861.75,19.04,27121.74,10.75,17.01,71,30,0,120,1,http://192.168.1.5:5555/image/2023_12_31_02_49_14.jpg
2023-12-31-02-49-16,0,19861.75,19.04,27121.74,10.75,17.01,71,30,0,180,1,http://192.168.1.5:5555/image/2023_12_31_02_49_15.jpg
